Supplier,Industry,Fuel,Origin,Destination,Mode,Year,Value
Port,Steel,LCNH3,Hamburg,Duisburg,pipeline,2030,0.0
Port,Steel,LCNH3,Hamburg,Duisburg,pipeline,2035,0.0
Port,Steel,LCNH3,Hamburg,Duisburg,pipeline,2040,0.0
Port,Steel,LCNH3,Hamburg,Duisburg,pipeline,2045,0.0
Port,Steel,LCNH3,Hamburg,Duisburg,pipeline,2050,0.0
Port,Steel,LCMeOH,Hamburg,Duisburg,pipeline,2030,0.0
Port,Steel,LCMeOH,Hamburg,Duisburg,pipeline,2035,0.0
Port,Steel,LCMeOH,Hamburg,Duisburg,pipeline,2040,0.0
Port,Steel,LCMeOH,Hamburg,Duisburg,pipeline,2045,0.0
Port,Steel,LCMeOH,Hamburg,Duisburg,pipeline,2050,0.0
Port,Steel,LCH2,Hamburg,Duisburg,pipeline,2030,0.0
Port,Steel,LCH2,Hamburg,Duisburg,pipeline,2035,0.0
Port,Steel,LCH2,Hamburg,Duisburg,pipeline,2040,0.0
Port,Steel,LCH2,Hamburg,Duisburg,pipeline,2045,0.0
Port,Steel,LCH2,Hamburg,Duisburg,pipeline,2050,0.0
Port,Port,H2,Hamburg,Hamburg,pipeline,2030,0.0
Port,Port,H2,Hamburg,Hamburg,pipeline,2035,0.0
Port,Port,H2,Hamburg,Hamburg,pipeline,2040,0.0
Port,Port,H2,Hamburg,Hamburg,pipeline,2045,0.0
Port,Port,H2,Hamburg,Hamburg,pipeline,2050,0.0
Port,Port,H2,Antofagasta,Antofagasta,pipeline,2030,0.0
Port,Port,H2,Antofagasta,Antofagasta,pipeline,2035,0.0
Port,Port,H2,Antofagasta,Antofagasta,pipeline,2040,0.0
Port,Port,H2,Antofagasta,Antofagasta,pipeline,2045,0.0
Port,Port,H2,Antofagasta,Antofagasta,pipeline,2050,0.0
Port,Port,NH3,Hamburg,Hamburg,pipeline,2030,0.0
Port,Port,NH3,Hamburg,Hamburg,pipeline,2035,0.0
Port,Port,NH3,Hamburg,Hamburg,pipeline,2040,0.0
Port,Port,NH3,Hamburg,Hamburg,pipeline,2045,0.0
Port,Port,NH3,Hamburg,Hamburg,pipeline,2050,0.0
Port,Port,NH3,Hamburg,Antofagasta,shipping,2030,0.0
Port,Port,NH3,Hamburg,Antofagasta,shipping,2035,0.0
Port,Port,NH3,Hamburg,Antofagasta,shipping,2040,0.0
Port,Port,NH3,Hamburg,Antofagasta,shipping,2045,0.0
Port,Port,NH3,Hamburg,Antofagasta,shipping,2050,0.0
Port,Port,NH3,Antofagasta,Hamburg,shipping,2030,0.0
Port,Port,NH3,Antofagasta,Hamburg,shipping,2035,0.0
Port,Port,NH3,Antofagasta,Hamburg,shipping,2040,0.0
Port,Port,NH3,Antofagasta,Hamburg,shipping,2045,0.0
Port,Port,NH3,Antofagasta,Hamburg,shipping,2050,0.0
Port,Port,NH3,Antofagasta,Antofagasta,pipeline,2030,0.0
Port,Port,NH3,Antofagasta,Antofagasta,pipeline,2035,0.0
Port,Port,NH3,Antofagasta,Antofagasta,pipeline,2040,0.0
Port,Port,NH3,Antofagasta,Antofagasta,pipeline,2045,0.0
Port,Port,NH3,Antofagasta,Antofagasta,pipeline,2050,0.0
Port,Port,MeOH,Hamburg,Hamburg,pipeline,2030,0.0
Port,Port,MeOH,Hamburg,Hamburg,pipeline,2035,0.0
Port,Port,MeOH,Hamburg,Hamburg,pipeline,2040,0.0
Port,Port,MeOH,Hamburg,Hamburg,pipeline,2045,0.0
Port,Port,MeOH,Hamburg,Hamburg,pipeline,2050,0.0
Port,Port,MeOH,Hamburg,Antofagasta,shipping,2030,0.0
Port,Port,MeOH,Hamburg,Antofagasta,shipping,2035,0.0
Port,Port,MeOH,Hamburg,Antofagasta,shipping,2040,0.0
Port,Port,MeOH,Hamburg,Antofagasta,shipping,2045,0.0
Port,Port,MeOH,Hamburg,Antofagasta,shipping,2050,0.0
Port,Port,MeOH,Antofagasta,Hamburg,shipping,2030,1.5823506913781165
Port,Port,MeOH,Antofagasta,Hamburg,shipping,2035,0.0
Port,Port,MeOH,Antofagasta,Hamburg,shipping,2040,0.0
Port,Port,MeOH,Antofagasta,Hamburg,shipping,2045,0.0
Port,Port,MeOH,Antofagasta,Hamburg,shipping,2050,0.0
Port,Port,MeOH,Antofagasta,Antofagasta,pipeline,2030,0.0
Port,Port,MeOH,Antofagasta,Antofagasta,pipeline,2035,0.0
Port,Port,MeOH,Antofagasta,Antofagasta,pipeline,2040,0.0
Port,Port,MeOH,Antofagasta,Antofagasta,pipeline,2045,0.0
Port,Port,MeOH,Antofagasta,Antofagasta,pipeline,2050,0.0
Port,Port,LCNH3,Hamburg,Hamburg,pipeline,2030,0.0
Port,Port,LCNH3,Hamburg,Hamburg,pipeline,2035,0.0
Port,Port,LCNH3,Hamburg,Hamburg,pipeline,2040,0.0
Port,Port,LCNH3,Hamburg,Hamburg,pipeline,2045,0.0
Port,Port,LCNH3,Hamburg,Hamburg,pipeline,2050,0.0
Port,Port,LCNH3,Antofagasta,Antofagasta,pipeline,2030,0.0
Port,Port,LCNH3,Antofagasta,Antofagasta,pipeline,2035,0.0
Port,Port,LCNH3,Antofagasta,Antofagasta,pipeline,2040,0.0
Port,Port,LCNH3,Antofagasta,Antofagasta,pipeline,2045,0.0
Port,Port,LCNH3,Antofagasta,Antofagasta,pipeline,2050,0.0
Port,Port,LCMeOH,Hamburg,Hamburg,pipeline,2030,0.0
Port,Port,LCMeOH,Hamburg,Hamburg,pipeline,2035,0.0
Port,Port,LCMeOH,Hamburg,Hamburg,pipeline,2040,0.0
Port,Port,LCMeOH,Hamburg,Hamburg,pipeline,2045,0.0
Port,Port,LCMeOH,Hamburg,Hamburg,pipeline,2050,0.0
Port,Port,LCMeOH,Antofagasta,Antofagasta,pipeline,2030,0.0
Port,Port,LCMeOH,Antofagasta,Antofagasta,pipeline,2035,0.0
Port,Port,LCMeOH,Antofagasta,Antofagasta,pipeline,2040,0.0
Port,Port,LCMeOH,Antofagasta,Antofagasta,pipeline,2045,0.0
Port,Port,LCMeOH,Antofagasta,Antofagasta,pipeline,2050,0.0
Port,Port,LCH2,Hamburg,Hamburg,pipeline,2030,0.0
Port,Port,LCH2,Hamburg,Hamburg,pipeline,2035,0.0
Port,Port,LCH2,Hamburg,Hamburg,pipeline,2040,0.0
Port,Port,LCH2,Hamburg,Hamburg,pipeline,2045,0.0
Port,Port,LCH2,Hamburg,Hamburg,pipeline,2050,0.0
Port,Port,LCH2,Antofagasta,Antofagasta,pipeline,2030,0.0
Port,Port,LCH2,Antofagasta,Antofagasta,pipeline,2035,0.0
Port,Port,LCH2,Antofagasta,Antofagasta,pipeline,2040,0.0
Port,Port,LCH2,Antofagasta,Antofagasta,pipeline,2045,0.0
Port,Port,LCH2,Antofagasta,Antofagasta,pipeline,2050,0.0
Port,Port,LH2,Hamburg,Antofagasta,shipping,2030,0.0
Port,Port,LH2,Hamburg,Antofagasta,shipping,2035,0.0
Port,Port,LH2,Hamburg,Antofagasta,shipping,2040,0.0
Port,Port,LH2,Hamburg,Antofagasta,shipping,2045,0.0
Port,Port,LH2,Hamburg,Antofagasta,shipping,2050,0.0
Port,Port,LH2,Antofagasta,Hamburg,shipping,2030,0.0
Port,Port,LH2,Antofagasta,Hamburg,shipping,2035,0.0
Port,Port,LH2,Antofagasta,Hamburg,shipping,2040,0.0
Port,Port,LH2,Antofagasta,Hamburg,shipping,2045,0.0
Port,Port,LH2,Antofagasta,Hamburg,shipping,2050,0.0
